meal_title,meal_type
2 eggs bacon,B
3 lazy devils,B
jalapeno cheddar omlete,B
bacon denver omlete,B
2 eggs spinach,B
spinach ham and swiss scramble,B
cottage cheese and peaches,B
"yogurt, honey, and berries.",B
oatmeal,B
green smoothie,B
blue berry banana smoothie,B
chicken cobb salad,L
chicken berry salad,L
chicken mango fajitas,D
cilantro lime chicken,D
persian chicken,D
chicken florentine,D
swedish meatballs,D
meatballs and spaghetti squash,D
meatloaf and greenbeans,D
cauliflower soup,D
taco salad,D
garden chowder,D
beef barley,D
sausage and spelt,D
salmon and broccoli,D
tilapia and asparagus,D
stroganoff,D
cabbage bowls,D
morrocan lentil,D
cabbage epsilon,D
pork tenderloin and roasted winter vegetables,D
burnt butter porkchops and sweet potato mash,D
blt wraps,D
western burger salad,D
chili,D
minestrone,D
ham wraps,L
tuna wraps,L
waldorf salad,L
broccoli salad,L
potstickers,L
veggies and ranch,S
"apple, goat cheese, pecans",S
orange,S
cashews,S
ham and cheese,S
berries,S
grapes,S
